Host family,Host genus,Species,Conservation Status,Parasite type,Type Parasite Detailled,EEO,Parasite Family,Parasite genus,Parasite species,Host,region,reference,Sample from
Lepilemuridae,Lepilemur,microdon,EN,helminth,nematode,159,Tristrongylidae,Pararhabdonema,longistriata,Lepilemur_microdon,,"Chabau et al., 1965",
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,nematode,49307,Coccidia,Coccidia,,Cheirogaleus_medius,Mandena,"raharivololona et al., 2007",
Lemuridae,Eulemur ,rufifrons,VU,protozoa,protozoan,138438,Balantidiidae,Balantidium,coli,Eulemur _fulvus_rufus,kirindy,"Clough, D. 2010. Gastro-intestinal parasites of red-fronted lemurs in Kirindy Forest, Western Madagascar. Journal of Parasitology 96: 245-251.",
Lemuridae,Eulemur ,rufifrons,VU,protozoa,protozoan,138438,Balantidiidae,Balantidium,coli,Eulemur _fulvus_rufus,kirindy,"Clough, D., Heistermann, M., and P. Kappeler. 2010. Host Intrinsic Determinants and Potential Consequences of Parasite Infection in Free-Ranging Red-Fronted Lemurs (Eulemur fulvus rufus). American Journal of Physical Anthropology 142:441-452",
Lemuridae,Eulemur ,rufifrons,VU,protozoa,protozoan,138438,Balantidiidae,Balantidium,coli,Eulemur _fulvus_rufus,kirindy,"Clough, D., Heistermann, M., and P. Kappeler. 2010. Host Intrinsic Determinants and Potential Consequences of Parasite Infection in Free-Ranging Red-Fronted Lemurs (Eulemur fulvus rufus). American Journal of Physical Anthropology 142:441-452",
Lemuridae,Eulemur ,macaco,EN,helminth,,11732,Colobenterobius,inglisi,,Eulemur _macaco_macaco,,"Chabaud, A. G., Brygoo E. R., and A.J. Petter. 1965. Les nematodes parasites de Lemuriens malgaches. VI. Description de six especes nouvelles et conclusions generales. Annales de Parasitologie 40 (2): 181-214.",
Indriidae,Propithecus,edwardsi,EN,protozoa,protozoan,1543,Cryptosporidiidae,Cryptosporidium,sp.,Propithecus_edwardsi,Ranomafana,"Rasambainarivo, F. T., Gillespie, T. R., Wright, P. C., Arsenault, J., Villeneuve, A., & Lair, S. (2013). Survey of Giardia and Cryptosporidium in lemurs from the Ranomafana National Park, Madagascar. Journal of Wildlife Diseases, 49(3), 741-743.",
Lemuridae,Eulemur ,rubriventer,VU,protozoa,protozoan,142826,Cryptosporidiidae,Cryptosporidium,sp.,Eulemur_rubriventer,Ranomafana,"Rasambainarivo, F. T., Gillespie, T. R., Wright, P. C., Arsenault, J., Villeneuve, A., & Lair, S. (2013). Survey of Giardia and Cryptosporidium in lemurs from the Ranomafana National Park, Madagascar. Journal of Wildlife Diseases, 49(3), 741-743.",
Lemuridae,Prolemur ,simus,CR,protozoa,protozoan,30552,Cryptosporidiidae,Cryptosporidium,sp.,Prolemur _simus,Ranomafana,"Rasambainarivo, F. T., Gillespie, T. R., Wright, P. C., Arsenault, J., Villeneuve, A., & Lair, S. (2013). Survey of Giardia and Cryptosporidium in lemurs from the Ranomafana National Park, Madagascar. Journal of Wildlife Diseases, 49(3), 741-743.",
Cheirogaleidae,Microcebus,rufus,VU,protozoa,protozoan,5192,Cryptosporidiidae,Cryptosporidium,sp.,Microcebus_rufus,Ranomafana,"Rasambainarivo, F. T., Gillespie, T. R., Wright, P. C., Arsenault, J., Villeneuve, A., & Lair, S. (2013). Survey of Giardia and Cryptosporidium in lemurs from the Ranomafana National Park, Madagascar. Journal of Wildlife Diseases, 49(3), 741-743.",
Indriidae,Propithecus,edwardsi,EN,protozoa,protozoan,1543,Cryptosporidiidae,Cryptosporidium,sp.,Propithecus_edwardsi,Ranomafana,"Rasambainarivo, F. T., Gillespie, T. R., Wright, P. C., Arsenault, J., Villeneuve, A., & Lair, S. (2013). Survey of Giardia and Cryptosporidium in lemurs from the Ranomafana National Park, Madagascar. Journal of Wildlife Diseases, 49(3), 741-743.",
Lemuridae,Eulemur,rubriventer,VU,protozoa,protozoan,142826,Cryptosporidiidae,Cryptosporidium,sp.,Eulemur_rubriventer,Ranomafana,"Rasambainarivo, F. T., Gillespie, T. R., Wright, P. C., Arsenault, J., Villeneuve, A., & Lair, S. (2013). Survey of Giardia and Cryptosporidium in lemurs from the Ranomafana National Park, Madagascar. Journal of Wildlife Diseases, 49(3), 741-743.",
